QSP STEP QPU Experiment -- qpu:belenos
Run tag        : x100_shots5000
x_values       : 100 points
N_SHOTS        : 5000
Fix 1 retries  : 3
Fix 2 NaN      : enabled

x[00] = -3.1416  job_id = 6224b2ac-7369-46d2-839d-151389aaabaf
x[01] = -3.0781  job_id = c0755844-e9a1-49e7-a804-79eb07f464d6
x[02] = -3.0147  job_id = ef09544f-6cc1-4ffd-bdb0-3070c559c3e9
x[03] = -2.9512  job_id = 0a642710-0b51-42a7-9846-351adb072957
x[04] = -2.8877  job_id = dd782496-14a3-40c7-9f73-84ddbbc781d9
x[05] = -2.8243  job_id = 86a61d99-e9f7-492a-a31d-fb6e14289301
x[06] = -2.7608  job_id = bce47a90-09e4-43ef-9ed0-9671997a3f7a
x[07] = -2.6973  job_id = 18cd8607-01ad-474b-a88a-70f1c42e68cc
x[08] = -2.6339  job_id = dc8a625b-dada-400f-8137-4e867d82c360
x[09] = -2.5704  job_id = bebcda51-e761-4835-be0e-f107a6bb2da8
x[10] = -2.5069  job_id = 6505d450-ee68-4bac-9c48-cbb872c0730b
x[11] = -2.4435  job_id = f265c82e-7c95-49d6-b726-056783337642
x[12] = -2.3800  job_id = 7996f9c2-ea4e-47bf-9f87-242938fabcb6
x[13] = -2.3165  job_id = fbb644c6-0039-41ca-b9a0-939c3a20a49f
x[14] = -2.2531  job_id = 1d100155-88d9-401d-989a-6fff58a9fc4d
x[15] = -2.1896  job_id = fe4a385e-bea3-4750-9b3a-ab65d6eaacab
x[16] = -2.1261  job_id = cdaa89ba-1df7-4970-8695-c61a2332c663
x[17] = -2.0627  job_id = 97da32ae-e1d4-4486-a460-8b2f4aee5b69
x[18] = -1.9992  job_id = 9a875179-a4ee-49bf-b4e8-bdcf856d9c57
x[19] = -1.9357  job_id = 5eb6038e-42a0-45df-a4d6-c619dc5051de
x[20] = -1.8723  job_id = 031eefa4-256b-485b-ab85-ee00e9a8134a
x[21] = -1.8088  job_id = fa08bf59-9902-4558-b422-29abc89a2e94
x[22] = -1.7453  job_id = 6abe0079-fb45-48ad-9ae4-09bb88ee87ae
